id	name	artist	version	bpm	diffNormal	diffHard	diffExpert	diffInferno
2203	非実在系女子たちはどうすりゃいいですか？	綾瀬理恵	4	158	3.0	8.5	12.6	0.0
2204	叩ケ　叩ケ　手ェ叩ケ	SIRO	5	160	2.0	7.3	12.3	13.8
2205	テレキャスタービーボーイ	すりぃ feat.鏡音レン	4	182	3.0	8.9	11.9	0.0
2206	Scream out!	A-One	4	165	4.0	8.1	12.8	0.0
2207	MAGENTA POTION	EmoCosine	4	150	4.0	8.1	12.6	0.0
2208	Megaton Killer	DJ Myosuke	4	220	5.0	10.0	13.6	0.0
2209	ATAMA WARUI	Laur	4	175	5.0	9.1	12.9	0.0
2210	LIN NE KRO NE feat. lasah	sasakure.UK	4	250	4.0	9.0	13.7	0.0
2211	Lhaksha	Feryquitous	4	191	3.0	9.6	12.5	0.0
2212	SHAKE!	REDALiCE	4	180	4.0	9.5	12.7	0.0
2213	DUAL BREAKER XX	Srav3R vs Getty	4	200	6.0	10.8	13.8	0.0
2214	バレリーコ	みきとP	4	150	3.0	8.2	11.6	0.0
2215	フィクサー	ぬゆり	4	135	3.0	7.3	12.9	0.0
2216	だれかの心臓になれたなら	ユリイ・カノン feat.GUMI	4	145	3.0	7.8	12.1	0.0
2217	Destr0yer	削除 feat Nikki Simmons	4	90	5.0	8.7	13.0	0.0
2218	もぺもぺ	LeaF	4	100	4.0	8.2	12.7	0.0
2219	Popping Happiness!	DJ Genki & P*Light	4	180	4.0	8.5	12.4	0.0
2220	Madwing	DJ Myosuke & aran	4	180	5.0	9.9	12.8	0.0
2221	TRICKL4SH 220	Lite Show Magic	4	220	4.0	10.9	13.8	0.0
2222	チルノは覚醒サマーデイズ！	森羅万象	4	174	3.0	8.6	12.3	0.0
2223	エピクロスの虹はもう見えない	SYNC.ART'S feat. 美里	4	155	3.0	8.4	11.3	0.0
2224	ARROW RAIN feat.ayame	Masayoshi Minoshima(Alstroemeria Records)	4	180	5.0	9.2	12.6	0.0
2225	四次元跳躍機関	koutaq	4	135	2.0	9.1	12.7	0.0
2226	Destructive Little Sister	Kobaryo	4	495	5.0	10.9	13.9	0.0
2227	透明声彩	YuNi	5	140	3.0	7.6	11.8	0.0
2228	Fly to NEW WORLD	ミライアカリ	5	158	3.0	8.3	12.2	0.0
2229	Night Club Junkie	YUC'e	4	120	2.0	6.8	12.5	0.0
2230	Cauliflower	HiTECH NINJA	4	138	4.0	8.7	12.8	0.0
2231	Purple Skies	Mameyudoufu	4	185	3.0	8.4	12.4	0.0
2232	EVE	P*Light	4	200	4.0	9.2	13.1	0.0
2234	Lost Illusion	Yooh	4	135	4.0	10.7	12.7	0.0
